comment_id,post_id,user_id,comment_text,commented_at
1,1053,40,Comment 1,2024-08-26 09:53:15
2,1290,399,Comment 2,2024-07-24 09:53:15
3,673,64,Comment 3,2024-11-08 09:53:15
4,471,147,Comment 4,2024-12-03 09:53:15
5,1192,456,Comment 5,2024-11-05 09:53:15
6,886,483,Comment 6,2024-11-16 09:53:15
7,460,566,Comment 7,2024-07-20 09:53:15
8,1404,858,Comment 8,2025-02-23 09:53:15
9,1203,994,Comment 9,2024-09-16 09:53:15
10,725,855,Comment 10,2024-06-06 09:53:15
11,1377,691,Comment 11,2025-01-14 09:53:15
12,399,554,Comment 12,2024-10-26 09:53:15
13,1894,403,Comment 13,2025-03-05 09:53:15
14,882,835,Comment 14,2024-07-18 09:53:15
15,780,487,Comment 15,2024-12-01 09:53:15
16,489,940,Comment 16,2024-05-09 09:53:15
17,1376,927,Comment 17,2025-01-30 09:53:15
18,429,453,Comment 18,2024-12-03 09:53:15
19,496,560,Comment 19,2024-10-15 09:53:15
20,891,117,Comment 20,2024-06-26 09:53:15
21,1535,642,Comment 21,2024-12-26 09:53:15
22,1321,121,Comment 22,2024-10-01 09:53:15
23,861,56,Comment 23,2025-02-04 09:53:15
24,830,595,Comment 24,2024-12-24 09:53:15
25,1883,229,Comment 25,2025-03-09 09:53:15
26,243,909,Comment 26,2024-08-17 09:53:15
27,719,753,Comment 27,2025-02-02 09:53:15
28,983,71,Comment 28,2024-11-18 09:53:15
29,1407,630,Comment 29,2025-03-13 09:53:15
30,1171,476,Comment 30,2024-05-19 09:53:15
31,1611,248,Comment 31,2024-11-22 09:53:15
32,188,655,Comment 32,2024-09-27 09:53:15
33,1993,819,Comment 33,2025-01-25 09:53:15
34,89,75,Comment 34,2024-10-21 09:53:15
35,390,881,Comment 35,2024-05-17 09:53:15
36,1465,92,Comment 36,2024-08-13 09:53:15
37,127,664,Comment 37,2024-04-03 09:53:15
38,1562,334,Comment 38,2024-11-30 09:53:15
39,378,257,Comment 39,2025-02-04 09:53:15
40,1439,655,Comment 40,2025-02-09 09:53:15
41,1809,820,Comment 41,2025-02-18 09:53:15
42,155,244,Comment 42,2024-12-01 09:53:15
43,1397,408,Comment 43,2024-06-14 09:53:15
44,1039,802,Comment 44,2024-05-25 09:53:15
45,221,645,Comment 45,2025-02-08 09:53:15
46,543,596,Comment 46,2025-01-15 09:53:15
47,1967,906,Comment 47,2024-09-01 09:53:15
48,649,406,Comment 48,2025-03-07 09:53:15
49,504,710,Comment 49,2024-08-07 09:53:15
50,480,916,Comment 50,2024-09-16 09:53:15
51,1281,648,Comment 51,2024-05-07 09:53:15
52,682,345,Comment 52,2024-07-30 09:53:15
53,1004,420,Comment 53,2024-11-29 09:53:15
54,758,486,Comment 54,2025-01-24 09:53:15
55,308,864,Comment 55,2024-12-20 09:53:15
56,619,195,Comment 56,2024-12-27 09:53:15
57,1541,992,Comment 57,2024-06-17 09:53:15
58,1109,878,Comment 58,2024-12-10 09:53:15
59,1533,903,Comment 59,2024-10-29 09:53:15
60,72,708,Comment 60,2025-01-10 09:53:15
61,364,721,Comment 61,2024-11-22 09:53:15
62,1944,39,Comment 62,2024-11-01 09:53:15
63,399,867,Comment 63,2024-04-15 09:53:15
64,1161,906,Comment 64,2024-05-14 09:53:15
65,1465,922,Comment 65,2024-06-25 09:53:15
66,1409,82,Comment 66,2024-09-26 09:53:15
67,1957,711,Comment 67,2024-12-10 09:53:15
68,914,395,Comment 68,2024-05-16 09:53:15
69,1899,599,Comment 69,2024-08-27 09:53:15
