follower_id,following_id
4970,1139
4890,837
4452,3740
2513,2299
1356,3827
3610,302
1465,1694
3923,891
3735,2759
336,3735
2019,2151
2937,3072
2914,1635
3986,3621
3278,1723
2747,1384
4431,1188
2385,4774
726,2250
2285,141
3585,3364
503,2922
4276,3057
3033,2823
3085,4103
1682,3066
83,4475
4585,4488
4016,2278
794,67
1945,4452
1256,2684
2245,4163
691,240
3487,4222
51,406
2421,4875
4637,4456
522,4366
1566,2140
564,2010
1942,1592
3316,255
3648,4474
3968,4714
2931,2858
2093,1144
2493,1757
1478,3784
983,291
2160,3614
4824,3838
4818,353
97,1144
3122,307
935,3829
3165,316
1976,462
1924,3846
3580,4497
3779,1636
2636,541
2249,1363
620,1718
4555,506
1523,2053
3918,1488
2723,4317
2417,2273
243,4179
369,3023
2499,1204
3193,3977
1431,3451
1429,1975
3928,2843
1691,1851
817,79
103,3478
2608,4822
1594,1413
34,2837
3802,83
1334,1790
1328,3751
237,4038
2018,2059
1330,4447
2152,4108
4226,865
704,2183
2193,369
1280,4726
3284,1222
679,2692
4883,2095
4385,2551
2325,4098
344,3281
651,337
4000,339
2878,3427
2172,4948
1771,3354
3287,1492
2155,2678
780,2401
2643,3021
3668,3125
4384,4105
3356,727
4896,2456
2109,2223
3921,2801
3962,648
4605,361
1572,4263
3712,3082
2251,1075
3651,3380
1434,4126
1592,1213
3531,2415
4156,4968
1197,2448
2533,4539
3220,630
4020,1782
4030,642
2922,2701
2999,2147
4733,1874
4091,4283
1014,1719
1163,550
2444,1321
2207,1238
1001,4154
3632,2229
727,1558
3069,4698
2796,1333
1557,4158
384,1227
578,3430
1571,595
2904,3426
2104,2501
2105,245
2579,2499
2101,2837
4513,3843
3287,4527
3749,1341
523,2788
1882,3612
4909,2854
712,4492
4047,4610
282,4682
2569,2268
2363,2648
762,4506
1438,4374
1460,1271
3105,2054
876,898
1412,4236
4415,1181
3043,3857
4481,1821
2769,2438
3982,34
3623,2255
3643,767
3705,4750
1121,3332
1893,4158
1008,1239
4897,819
945,2681
4802,2601
3864,2287
2669,1519
378,1308
3089,4743
4311,649
4919,3218
1135,3384
3668,3049
11,835
2767,3747
2125,1725
4474,2488
1553,4588
1279,226
4797,908
1079,2991
4078,307
2993,2017
1716,4975
1476,3290
791,3102
484,1738
4955,4621
1362,3911
305,2930
74,1054
487,178
3766,1741
3351,385
4804,4626
713,172
2410,608
4953,2070
3969,1248
3665,2317
2352,3470
4335,3545
4199,1473
4623,1423
1392,3085
805,2163
1155,4870
487,3536
3080,414
1424,3396
1489,2143
868,2311
4947,2815
4146,3664
1403,2600
239,3198
2798,4214
4458,1073
3322,2489
2320,796
336,937
1294,4665
2836,2489
4045,3227
3950,3566
1718,1141
4018,2447
1087,3594
2905,2238
1022,354
1248,1263
1797,2114
1419,2994
3767,3240
2994,2241
2978,101
3684,677
136,4590
4007,4404
1857,4042
2369,3754
2891,712
4638,2393
3324,2345
3282,4010
3513,2220
3108,651
2655,3155
4901,2714
2787,1348
3929,4810
1735,4049
3706,829
290,1083
663,195
1409,3929
104,2350
2609,3221
2294,358
2409,244
1512,4797
3077,1252
4820,51
3519,3611
4909,4473
2305,4902
4685,1379
2882,3081
3643,3251
1589,4246
2312,2430
4354,1418
3400,2776
3060,155
3756,2278
2392,1533
4629,4652
582,377
4000,856
4627,2429
3065,2502
67,2895
639,4643
3383,1452
3821,823
3961,2736
4625,1867
1959,551
1448,3791
4082,4975
659,517
4951,1919
506,3647
978,318
3488,2879
1709,3849
679,4354
2804,3222
1325,612
4954,509
1724,4039
1345,31
2118,3934
4639,434
184,62
2591,4742
2070,1364
2254,1338
769,454
3237,3364
17,2883
3289,1495
3428,2683
432,3380
3897,4569
4246,4019
87,1532
4014,1093
1193,2524
4310,2337
4233,4659
3554,4359
2752,2041
651,161
4771,3794
2115,3401
2405,3211
2897,4032
2896,4318
1517,4793
312,1339
931,4498
4097,1242
234,794
2862,2227
164,3161
1059,777
1549,4836
2911,4068
300,636
4467,3663
364,3333
1880,1847
3906,3090
3257,3171
957,1963
4993,1957
2237,2964
2846,1861
1901,3529
4624,1057
3693,947
7,3285
3594,2443
4794,2636
713,4252
1603,3936
1062,31
2948,2538
4749,4765
4957,2460
2702,3308
4914,531
2555,3360
4051,1997
232,1991
182,1135
525,3183
1337,1195
925,4580
3613,1054
3070,3532
4974,1806
2578,4732
3056,3672
4383,2647
1059,4342
1308,891
1308,558
4311,2249
2512,897
1357,3672
1662,4895
4452,3366
2125,2622
2787,2624
758,2781
4136,4740
987,4640
2616,881
68,3572
2622,3295
4586,41
3101,3001
1339,1467
998,3243
1421,712
1778,3282
2818,4726
3215,2034
2858,591
804,2556
359,3821
3817,1335
375,758
1403,2511
1849,3247
1636,413
4835,4243
3371,234
1412,4505
2864,2005
2243,1927
4614,3352
1266,792
4163,4961
4169,2868
796,164
1368,3102
2169,2573
2221,1906
961,204
322,168
1314,3905
4465,4013
2536,1635
18,372
2034,40
1,2786
3174,2827
2758,2770
3828,4099
178,3649
625,3775
4297,713
1417,2081
4222,1301
1401,1917
93,4731
1524,4017
2141,3085
1044,2725
1436,4262
2283,1946
4808,3322
2680,143
4581,4011
652,1573
1613,4229
220,4863
3804,4821
428,2525
1157,1930
4334,1913
3637,3760
3553,1459
2386,3882
4493,3858
4500,1852
4031,1681
3854,428
4904,299
1967,4227
722,393
2589,591
4967,1698
1859,2235
4573,3332
2178,3616
1639,506
4556,2336
4576,725
1774,2752
4163,3623
4859,3021
2887,3709
3477,3461
4300,201
2564,4405
260,2923
153,527
35,3822
1393,1184
3513,3334
4219,4213
2433,3936
109,255
2613,2715
1308,423
2574,4917
3884,1803
1827,3954
3983,3948
600,1330
4419,835
3308,2963
671,2216
1173,1153
2195,4644
2229,1015
955,3037
1911,3852
1240,3448
3500,4366
2371,1255
37,4494
1828,596
2583,2709
4147,3687
4099,1956
2521,4897
4931,1920
4586,4744
2563,2492
473,2127
1314,3356
188,4376
218,2479
459,4683
3125,4061
3275,1769
1429,4019
1050,2920
1417,148
1335,1644
4474,2931
3979,3564
4521,4364
747,3961
3467,3830
3169,3273
3307,3585
4390,3776
1733,2448
4723,248
2964,1487
3893,878
2973,2017
1345,3359
4218,2371
188,3015
2097,2449
1895,3415
4799,1917
1405,3513
4043,3230
582,1837
4364,458
1391,4132
961,1871
3101,63
1058,1829
343,450
4138,3814
4829,4935
3222,4108
3259,3741
268,3779
765,4937
371,2540
4302,1498
791,1365
2561,4353
178,1671
1054,1058
2794,3736
134,3717
2699,4375
4488,1253
2311,4190
4475,1201
4074,4697
2061,4456
3860,1025
4735,3819
138,2810
2541,366
4630,4681
4294,824
3894,179
343,3151
482,1487
2585,4217
498,1280
2498,1793
2570,4873
365,1414
3304,1043
2814,3969
1692,4132
3412,4371
2005,4069
2662,2245
4267,1928
4860,179
4086,4753
400,4696
2841,3072
2568,2203
2485,3170
4768,531
4028,2032
1348,4585
1797,2969
1495,4621
4936,4689
3960,3750
2408,1910
3341,2609
3003,88
1430,4251
3410,4427
3478,1854
287,1532
1514,4375
1972,2954
1988,3188
1895,3518
3411,2043
589,3979
3217,3406
1458,78
2194,2000
4170,4759
3566,4946
1981,2858
1206,1331
2980,2589
4930,4979
2287,1386
3604,4059
238,3584
4663,231
745,3698
3373,3354
3181,3993
1035,1156
2022,1151
4504,4149
1256,4216
4906,3526
3356,2988
3029,1183
984,2040
587,4249
3399,3529
3541,3503
3297,3076
3896,1287
2265,99
4689,3060
4280,4899
2645,954
3251,1009
4733,4488
3375,862
1743,1977
482,4318
3919,4489
1030,865
1569,2933
2511,3225
424,3211
377,2716
3627,1760
748,3855
213,2100
4483,2738
1505,4924
1261,4977
2468,354
4670,4186
4236,4355
2289,2517
2892,1036
1785,4210
3132,1066
1406,1841
3380,2752
1373,1505
4020,2145
3177,3361
2443,635
3225,4944
3274,1860
3192,248
257,3900
3235,3922
4627,72
481,1836
2197,4173
1770,1359
3995,2259
883,1480
3646,2430
1174,4796
486,1164
244,4794
3020,1079
1309,4634
3832,2074
3290,2253
337,1165
2842,2259
1774,4353
2135,4140
1491,1108
4885,712
2709,1709
4727,2751
1960,4116
3913,4808
2856,1302
2092,4385
3723,3815
4878,1696
410,1322
2777,3523
1533,1518
3626,4607
1103,1366
4495,2908
4408,1061
1181,4781
2764,1707
3769,1231
2895,927
4645,2200
2324,673
241,347
2711,77
510,3074
3713,2379
2497,2344
3221,2288
470,3824
3183,4897
4896,2340
1188,4024
372,1541
3976,1597
1654,3641
1172,2708
4567,3876
4237,1257
3917,3960
3411,1282
3363,2607
2493,4492
2127,3083
2916,2146
1146,4160
4274,3519
1581,4823
1215,4539
1777,3576
4675,1608
3728,2364
4497,529
4957,566
174,297
1266,4607
2438,112
2963,393
4121,3734
3975,1253
4545,4392
4302,2180
3555,1376
1534,2537
963,4485
1989,4150
246,3282
3870,2467
813,2936
3621,853
2313,746
3172,3623
251,2845
4023,1723
2009,4689
4253,2716
4290,3902
3355,4335
445,938
2612,4646
805,2621
1539,4612
1981,4924
3328,4106
366,3775
3603,3447
2803,4074
2516,718
3700,3513
1067,4192
2175,1544
2101,382
3108,3878
3499,3333
2942,2999
1458,696
3064,4354
4850,3050
4591,3378
4327,3562
4437,664
1807,3969
2015,2935
4022,4727
2891,1076
4751,1076
1754,2882
401,588
2337,527
4838,3525
1531,2694
4184,931
372,815
400,1847
4946,4084
3494,3939
1645,3152
4549,383
2585,2629
3790,3972
2179,2337
2166,1470
2121,4060
1251,4100
1024,1277
3769,2567
3550,2958
876,2709
3090,91
1857,1065
725,4300
5000,2391
1636,3646
